Arquivo, Linha, Coluna, Vulnerabilidade, Descricao
c:\srci\srcimain.cpp, 246, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 255, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 256, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 257, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 258, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 259, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 260, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 261, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 266, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 267, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 268, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 269, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 270, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 271, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 280, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 281, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 282, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 283, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 285, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 294, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 296, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 297, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 308, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 309, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 310, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 319, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 320, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 321, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 322, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 327, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 328, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 329, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 330, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 339, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 340, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 349, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 350, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 351, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 352, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 353, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 354, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 359, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 360, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 361, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 362, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 363, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 364, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 375, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 376, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 377, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 386, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 387, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 388, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 389, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 391, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 396, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 397, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 398, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 400, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 405, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 406, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 407, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 409, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 414, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 415, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 416, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 417, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 419, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 428, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 429, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 430, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 441, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 442, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 443, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 452, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 453, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 454, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 455, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 457, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 462, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 463, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 464, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 466, 22, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 475, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 476, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 477, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 497, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 500, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 503, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 508, 24, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 614, 36, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 667, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 668, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 669, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 767, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 768, 13, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 784, 26, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 788, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 808, 25, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 809, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 810, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 814, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 831, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 849, 26, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 853, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 873, 25, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 874, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 875, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 879, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 896, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 917, 25, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 918, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 919, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 923, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 940, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 960, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 964, 25, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 965, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 966, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 970, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 987, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1008, 25, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1009, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1010, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1014, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1031, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1052, 25, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1053, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1054, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1058, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1069, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1102, 25, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1103, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1104, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
